,,                          THE PEPPER CONCERTS HISTORY PAGES:                       BY MATTHEW MINORS,,,,,,,,
,,,"Seperate bands with ""/"" try to remove white space where possible",,"Notes: To match songs to bands, they must be exactly like the are in the band col). Band is after the =
e.g ""Song = Band Name/Other Band Name/Person Name""","Format like: ""Person Name = Position""",,,,
SHOW,YEAR,BAND MEMBERS,BAND,INSTRUMENTS,SONGS,CREW ,MAIN COMMITTEE,COMMITTEE MEMBERS/HELPERS,HOSPICE HELPERS,DANCERS
Sgt Pepper Concert,1989,,,,,,Judith Limbert,,,
Sgt Pepper Concert,1989,,,,,,Chricheton Limbert,,,
Sgt Pepper Concert,1989,,,,,,Paul Goode,,,
Sgt Pepper Concert,1989,,,,,,Robert Breakwell,,,
Sgt Pepper Concert,1989,,,,,,Richard Dalziel,,,
Sgt Pepper Concert,1989,,,,,,Carolyn Stevens,,,
Sgt Pepper Concert,1989,,,,,,,Ali Robertson,,
Sgt Pepper Concert,1989,,,,,,,Deborah James,,
Sgt Pepper Concert,1989,,,,,,,Rowena Dean,,
Sgt Pepper Concert,1989,,,,,,,Daphane Watts,,
Sgt Pepper Concert,1989,,,,,,,,Linda Craven,
Sgt Pepper Concert,1989,,,,,,,,Maggie Sole,
Sgt Pepper Concert,1989,,,,,,,,Margaret Seale,
,,,,,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Archie Eager ,Lonely Hearts Club ,Drums,Oveture = Robert Breakwell/Lonely Hearts Club ,Chrichton Limbert = Technical Director,Robert Breakwell,Alistair Hodgeson (Outside Ents),,
Sgt Pepper Concert Magical Mystery Tour,1990,Hugh Dixon,Lonely Hearts Club ,Drums,Magical Mystery Tour = Lonely Hearts Club/Paul Griffiths,Simon Blackett = Lighting Director,Richard Dalziel,Alison Robertson (Publicity/Raffel),,
Sgt Pepper Concert Magical Mystery Tour,1990,Ian Smith,Lonely Hearts Club ,Bass Guitar,Ticket To Ride = Lonely Hearts Club/Lucy Byron/Becky Harkin,Maud Eager = Stage Manager,Archey Eager,Maude Eager (Merchandise),,
Sgt Pepper Concert Magical Mystery Tour,1990,Ted Carroll,Lonely Hearts Club ,Guitar,Penny Lane = Lonely Hearts Club/Gareth Evans-Jones,Gaynor Barnes = Assist Stage Man,Maud Eager,Rowena Dean (Sgt.Pepper Office),,
Sgt Pepper Concert Magical Mystery Tour,1990,Peter Blackett,Lonely Hearts Club ,Guitar,Day Tripper = Lonely Hearts Club/Billy Gallagher/Jim Manning,Huw Williams = Tech Crew Sound,Alistair Hodgeson,Deborah James (Sgt.Pepper Office),,
Sgt Pepper Concert Magical Mystery Tour,1990,Lance Day,Lonely Hearts Club ,Guitar/Synthesiser,Yellow Submarine = BYT,Bob Honeycombe = Tech Crew Sound,Chrichton Limbert,Chris Birch (Accountant),,
Sgt Pepper Concert Magical Mystery Tour,1990,Robert Breakwell,Lonely Hearts Club ,Piano/Synthesiser,I am A Walrus = Lonely Hearts Club/James Hannaway,Richard Hollingshead = Tech Crew Lighting,Alison Robertson,Theresa Dixon (Accountant),,
Sgt Pepper Concert Magical Mystery Tour,1990,Alistari Hodgeson,Lonely Hearts Club ,Synthesiser,Drive My Car = Charlie Trott and Friends,Ali Robertson = Front Of House,,Simon Marsden (Official Photograph),,
Sgt Pepper Concert Magical Mystery Tour,1990,Roland Walker ,Lonely Hearts Club ,Percussion,Strawberry Fields Forever =The Odd Eccentric,Amanda Coomber = Set Design,,Maud Eager (Programme),,
Sgt Pepper Concert Magical Mystery Tour,1990,Mark Armstrong,Lonely Hearts Club ,Trumpet,Fool On The Hill = Combined Schools,Simon Rosser = Rehersal Vocalist,,Richard Dalziel (Programme),,
Sgt Pepper Concert Magical Mystery Tour,1990,Heather Pepper,Lonely Hearts Club ,Trumpet,The Long and Winding Road = Lonely Hearts Club/Will Williams/Colin Dealey,Robert Breakwell = Musical Director,,Peter James (Bar),,
Sgt Pepper Concert Magical Mystery Tour,1990,Matthew Marriott,Lonely Hearts Club ,Trombone,Sergent Pepper = Lonely Hearts Club,Richard Dalziel = Concert Director,,Martin Dean (Bar),,
Sgt Pepper Concert Magical Mystery Tour,1990,Louise Criscenti,Lonely Hearts Club ,Saxaphone,,,,Tim Jones + Staff (Catering),,
Sgt Pepper Concert Magical Mystery Tour,1990,Gareth Evans-Jones,Lonely Hearts Club ,Lead Vocals,,,,Berkhamsted School Assoc (BBQ),,
Sgt Pepper Concert Magical Mystery Tour,1990,Paul Griffiths,Lonely Hearts Club ,Lead Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,James Hannaway,Lonely Hearts Club ,Lead Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Lucy Byron,Lonely Hearts Club ,Lead Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Becky Harkin ,Lonely Hearts Club ,Lead Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Charlie Trott,Lonely Hearts Club ,Lead Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Will Williams,Guest Singer,String Synthesiser,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Berkhamsted Youth Theatre,BYT,Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Victoria School,Victoria School,Combined Vocals/Orchestra,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Swing Gate School,Swing Gate School,Combined Vocals/Orchestra,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Thomas Coram,Thomas Coram,Combined Vocals/Orchestra,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Bridgewater School,Bridgewater School,Combined Vocals/Orchestra,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Billy Gallagher,Guest Singer,Lead Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Jim Manning,Guest Singer,Lead Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Paul Eccentric,The Odd Eccentric,Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Fergus McAlistair V11,The Odd Eccentric,Guitar,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Zorba Cuprinol,The Odd Eccentric,Bass Guitar,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Crash Symbol,The Odd Eccentric,Drums,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Jan Ladislav Dussek J,The Odd Eccentric,Keyboards,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Kinkerbell Blue,The Odd Eccentric,Backing Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Slinky Beth,The Odd Eccentric,Backing Vocals,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Harriet Albaster,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Tracy Dale,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Sally Dussek,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Colin Dealey,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Jonathan Driver,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,George Cross,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Julia Griffiths,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Melissa Love,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Graham Paterson,,Vocalists,,,,,,
Sgt Pepper Concert Magical Mystery Tour,1990,Simon Rosser,,Vocalists,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Rock & Roll Years,1991,Archie Eager ,Lonely Hearts Club ,Drums,Instrumental Greats = Lonely Hearts Club ,Gareth Evans Jones = Concert Design,Alistair Hodgeson,Gillian Munro (Front Of House Man),,Tracy Bowdrey
Rock & Roll Years,1991,Don Ellis,Lonely Hearts Club ,Drums,Sumertime Blues = Billy Gallacher/Lonely Hearts Club,Bob Honeycombe (Technical Director),Archey Eager,Mark Thomas (Outside Ents),,Ulli Greco
Rock & Roll Years,1991,Barry Pollard,Lonely Hearts Club ,Drums,C'mon Everybody = Paul Gallacher/Lonely Herts Band,Cricheton Limbert (Concert Sound),Robert Breakwell,Alison Robertson (Publicity/Raffel),,Jan Gilber
Rock & Roll Years,1991,Roland Walker ,Lonely Hearts Club ,Percussion,Blue Suede Shoes(Billy Gallacher + Lonely Herts Band),Richard Hollingshead (Lighting Direct),Bob Honeycombe,Maude Eager (Merchandise),,Anne Hinnigan
Rock & Roll Years,1991,Ian Smith,Lonely Hearts Club ,Bass Guitar,I Can't Explain (Fortunes Child),Martin Spence (Lighting Assistant),Alison Robertson,Maud Eager (Programme/Posters),,
Rock & Roll Years,1991,Colin Soutar ,Lonely Hearts Club ,Bass Guitar,I'm An Urban Spaceman (Combined Schools/Orchestra),Maud Eager (Stage Manager),Mark Thomas,Archy Eager (Programme/Posters),,
Rock & Roll Years,1991,Ted Carroll,Lonely Hearts Club ,Guitar,She's Not There (Gareth Evans Jones +Lonely Herts Ba),Ali Robertson (Assist Stage Manager),Maud Eager,Rowena Dean (Box Office),,Simon Moran
Rock & Roll Years,1991,Neil Griffin,Lonely Hearts Club ,Guitar,Unchained Melody (Sarah Lynch + Lonely Herts Band),,Gareth Evans Jones,Ian Rennie Appels Office  (Box Office),,
Rock & Roll Years,1991,Dennis Pearman,Lonely Hearts Club ,Guitar,Robot Man (BYT),Robert Breakwell (Musical Direc),Gillian Munro,The Bookstack (Box Office),,
Rock & Roll Years,1991,Robert Breakwell,Lonely Hearts Club ,Piano,It's All Over Now (Rats Patoot),Alistair Hodgeson (Concert Director),Stephanie Dodridge,Theresa Dixon (Accountant),,
Rock & Roll Years,1991,Alistari Hodgeson,Lonely Hearts Club ,Keyboards,Pretty Woman (Don't Forget),Gillian Munro (Concert Director,,Tim Jones + Staff (Catering),,
